视频URL,UP主昵称,视频标题,播放量,弹幕数
https://www.bilibili.com/video/BV1aBfZYuEe7,方山厨子,首届大学生春晚2025,815.5万,22.2万
https://www.bilibili.com/video/BV1fdfQYYEDd,小潮院长,2025我的世界拜年纪,179.7万,27.7万
https://www.bilibili.com/video/BV1MTFnefEz7,啊Sai在纽约,谁偷了我妈的自行车？,359.7万,1680
https://www.bilibili.com/video/BV1kRf2YZEQL,旺仔有内涵,8888只水母齐放.祝大家新年快乐,323.6万,1.9万
https://www.bilibili.com/video/BV1N8foYdEwG,归乡人山白,龙泉青瓷,546.3万,9511
https://www.bilibili.com/video/BV1zXFWeREV7,真呲牙乐,蛇头蛇脑,307.9万,1208
https://www.bilibili.com/video/BV1bkfdYZEgu,果汁猫meme,未必船长的冒险故事前传+主线+番外合集版,615.4万,9069
https://www.bilibili.com/video/BV18vFNesE1f,奇妙迪士勾,一定要学会，买车笑嘻嘻,180.9万,241
https://www.bilibili.com/video/BV1txfmYqEhi,极客湾Geekerwan,游戏性能哪家强？手机掉帧？发热？作弊？猫腻太多！,115.1万,2.1万
https://www.bilibili.com/video/BV1FEfyY1E1Z,李维刚的日常,一万五盘下13年老塘，助塘主筹钱治眼，愿早日康复。,112.1万,7589
https://www.bilibili.com/video/BV1c9FNeGEYM,朱铁雄,心有所向，道阻且长，朝朝暮暮，岁岁平安,206.4万,350
https://www.bilibili.com/video/BV1LufpYGEb5,哦呼w,你不是挺鬼畜的吗？【2025拜年纪单品】,161.3万,2026
https://www.bilibili.com/video/BV1gEfpYKEo9,GYAnimation,芙芙的奇妙冒险【2025拜年纪单品】,97.1万,2542
https://www.bilibili.com/video/BV1AJfUYhEFM,脱缰凯Kk,快过年啦！,200.1万,2.3万
https://www.bilibili.com/video/BV1XWf6YREN5,王者荣耀,王者荣耀蛇年新春贺岁片丨愿望里面有小王,402.9万,3.4万
https://www.bilibili.com/video/BV17vfzYbEQA,戈登拉姆齐Gordon,【地狱厨神】戈登·拉姆齐正式入驻B站！,301.4万,1505
https://www.bilibili.com/video/BV1ZUfsYpEXy,哔哩哔哩拜年纪,2025哔哩哔哩拜年纪,714.4万,5万
https://www.bilibili.com/video/BV1xQfWYaEV5,巫师财经,【巫师】万字解析春晚背后的资本博弈,187.8万,7011
https://www.bilibili.com/video/BV1CRf2YZESn,门三石-,领导让你去他车里拿茅台，但车里没有…,323.5万,600
https://www.bilibili.com/video/BV13SfrYoEp6,峻宁峻宁,福禄寿酒店一日体验，谁知道这酒店晚上长什么样？,121.7万,8万
https://www.bilibili.com/video/BV1P3fyYnEYC,一枫呀,帅不帅？,417.7万,1923
https://www.bilibili.com/video/BV1gcfWYqEsf,毕导,【毕导】击溃你的常识！无穷之后的世界是什么样？,754.3万,1.3万
https://www.bilibili.com/video/BV1YUFPedE29,原神,《原神》过场动画-「赤团开时斜飞去」,106.6万,2.1万
https://www.bilibili.com/video/BV1CgfHYQEda,小约翰可汗,谁是抽象界的天赋选手？【奇葩小国52】,393.1万,5.3万
https://www.bilibili.com/video/BV1H1fSYaEym,蛋某人音乐,循环歌单|【拼好歌】|“世界上梗最多的歌出现了”,256.9万,554
https://www.bilibili.com/video/BV12if6Y2EZA,叶开叶师傅,美女蛇！亿！镜！到！底！,198万,2674
https://www.bilibili.com/video/BV1CFFWecEvf,小藤777,0帧起手怎么躲！！,73.6万,2.3万
https://www.bilibili.com/video/BV1NGf2YtE8r,NathMath,DeepSeek R1 推理模型 完全本地部署 保姆级教程 断网运行 无惧隐私威胁 大语言模型推理时调参 CPU GPU 混合推理 32B 轻松本地部署,101.2万,612
https://www.bilibili.com/video/BV1AUFNe1E3i,大圆哥_,哈哈哈～在坐的各位都有功劳，小圆子给您磕一个。,197.9万,1369
https://www.bilibili.com/video/BV1xzFxeGERL,史蒂猪StevenPig,谁在用烟花轰炸我家！！！！,289.5万,1288
https://www.bilibili.com/video/BV1LQFHemE2z,小辰吾妮,荣获2025新年年度最佳,217万,168
https://www.bilibili.com/video/BV1ZVf6YaEC4,呵纹Hevon,这是崩坏3琪天大圣，你敢和她对视十秒吗？【崩坏3新春琪愿季】,82.6万,7865
https://www.bilibili.com/video/BV13FfUY5EX1,智勇双全富贵君,这还是地球吗？,319.1万,1746
https://www.bilibili.com/video/BV1sBFHe4EAL,时代少年团,【时代少年团】2025十八楼联欢晚会之开幕式,165.5万,39.2万
https://www.bilibili.com/video/BV1DVFPeSEFY,无幻漫剪,全世界最有味道的寿司，给狗狗都不吃，但人却吃得无比美味享受,645.5万,873
https://www.bilibili.com/video/BV1jBfrYNEbr,长夜今宵,《小品：打扑克-围棋篇》,167.5万,915
https://www.bilibili.com/video/BV19sfJYeEEh,芜湖给力奥,⚡海 藻 宝 宝⚡,397.6万,2.6万
https://www.bilibili.com/video/BV1gKfUYgEzq,呱唧菌,《人可以有多忘本》,157.8万,1814
https://www.bilibili.com/video/BV1DZfRYZEEN,汤姆的混乱空间,将局势逆转吧！卞相壹神之一手分解教学,621.3万,5966
https://www.bilibili.com/video/BV1NufWYwE5E,Breeze微分,【小曲合集】各大游戏抽象音乐合集！,409.6万,1386
https://www.bilibili.com/video/BV17afzYhEfw,虎哥二次元教父,虎哥踢馆,176.1万,472
https://www.bilibili.com/video/BV1pbfrY3EGR,袁创棍法,当双节棍按上非遗打铁花,269.4万,663
https://www.bilibili.com/video/BV11yFNeEEDJ,johnhuu,最难英文翻译：白云黑土开场！,497.3万,438
https://www.bilibili.com/video/BV1AvfpYsE4t,KBShinya,天星问【2025拜年纪单品】,52.3万,8245
